英文單字 (Word),詞性 (Part of Speech),中文字義 (Meaning)
animal,n.,動物
beautiful,adj.,美麗的
breakfast,n.,早餐
brother,n.,兄弟
candle,n.,蠟燭
dinner,n.,晚餐
doctor,n.,醫生
family,n.,家庭
farmer,n.,農夫
friend,n.,朋友
garden,n.,花園
kitchen,n.,廚房
lunch,n.,午餐
market,n.,市場
monkey,n.,猴子
morning,n.,早上
nurse,n.,護士
parent,n.,父母
pencil,n.,鉛筆
picture,n.,圖片
school,n.,學校
season,n.,季節
student,n.,學生
teacher,n.,老師
tomato,n.,番茄
weather,n.,天氣
window,n.,窗戶
yellow,adj.,黃色的
yesterday,n./adv.,昨天
zoo,n.,動物園
always,adv.,總是
around,prep./adv.,在...周圍
behind,prep.,在...後面
between,prep.,在...之間
careful,adj., driver
cloudy,adj.,多雲的
dinner,n.,晚餐
dollar,n.,元
eleven,num.,十一
twelve,num.,十二
enjoy,v.,享受
enough,adj./adv.,足夠的
famous,adj.,著名的
favorite,adj.,最喜愛的
finger,n.,手指
future,n.,未來
grapes,n.,葡萄
ground,n.,地面
healthy,adj.,健康的
helper,n.,助手
hungry,adj.,飢餓的
island,n.,島嶼
jacket,n.,夾克
journey,n.,旅程
listen,v.,傾聽
little,adj.,小的
market,n.,市場
minute,n.,分鐘
monkey,n.,猴子
museum,n.,博物館
nature,n.,自然
nobody,pron.,無人
number,n.,數字
o'clock,adv.,點鐘
office,n.,辦公室
orange,n./adj.,柳橙/橘色的
packet,n.,小包
palace,n.,宮殿
person,n.,人
planet,n.,行星
pocket,n.,口袋
police,n.,警察
purple,adj.,紫色的
quarter,n.,四分之一/一刻鐘
question,n.,問題
rabbit,n.,兔子
railway,n.,鐵路
remember,v.,記得
restaurant,n.,餐廳
river,n.,河流
runner,n.,跑者
sadness,n.,悲傷
science,n.,科學
shadow,n.,影子
shorts,n.,短褲
silver,n./adj.,銀/銀色的
simple,adj.,簡單的
singer,n.,歌手
soccer,n.,足球
spring,n.,春天
stairs,n.,樓梯
station,n.,車站
summer,n.,夏天
sunday,n.,星期日
sweater,n.,毛衣
tailor,n.,裁縫師
ticket,n.,票
travel,v./n.,旅遊
turtle,n.,烏龜
useful,adj.,有用的
village,n.,村莊
warmth,n.,溫暖
welcome,v./adj.,歡迎/受歡迎的
winter,n.,冬天
worker,n.,工人
animal,n.,動物
beautiful,adj.,美麗的
breakfast,n.,早餐
brother,n.,兄弟
candle,n.,蠟燭
dinner,n.,晚餐
doctor,n.,醫生
family,n.,家庭
farmer,n.,農夫
friend,n.,朋友
garden,n.,花園
kitchen,n.,廚房
lunch,n.,午餐
market,n.,市場
monkey,n.,猴子
